id,code_prefix_start,name,parent_id
account_group_123219022,123219022,Créditos a Receber de Contraprestações a Repassar,account_group_12321902
account_group_12322,12322,ADMINISTRAÇÃO DE BENEFÍCIOS DE ASSISTÊNCIA ODONTOLÓGICA,account_group_1232
account_group_123229,123229,Administração de Benefícios de Assistência Odontológica,account_group_12322
account_group_12322901,12322901,Taxa de Administração de Benefícios a Receber,account_group_123229
account_group_123229011,123229011,Taxa de Administração de Benefícios a Receber,account_group_12322901
account_group_12322902,12322902,Contraprestações/Prêmios a Receber,account_group_123229
account_group_123229022,123229022,Contraprestações/Prêmios a Receber,account_group_12322902
account_group_1233,1233,PARTICIPAÇÃO DOS BENEFICIÁRIOS EM EVENTOS/SINISTROS INDENIZADOS,account_group_123
account_group_12331,12331,PARTICIPAÇÃO DOS BENEFICIÁRIOS EM EVENTOS/SINISTROS INDENIZADOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR,account_group_1233
account_group_123311,123311,Cobertura Assistencial com Preço Preestabelecido,account_group_12331
account_group_12331101,12331101,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Receber,account_group_123311
account_group_123311011,123311011,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Receber,account_group_12331101
account_group_12331102,12331102,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Cobrar,account_group_123311
account_group_123311022,123311022,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Cobrar,account_group_12331102
account_group_123312,123312,Cobertura Assistencial com Preço Pós-estabelecido,account_group_12331
account_group_12331201,12331201,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Receber,account_group_123312
account_group_123312011,123312011,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Receber,account_group_12331201
account_group_12331202,12331202,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Cobrar,account_group_123312
account_group_123312022,123312022,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Cobrar,account_group_12331202
account_group_12332,12332,PARTICIPAÇÃO DOS BENEFICIÁRIOS EM EVENTOS/SINISTROS INDENIZADOS DE ASSISTÊNCIA ODONTOLÓGICA,account_group_1233
account_group_123321,123321,Cobertura Assistencial com Preço Preestabelecido,account_group_12332
account_group_12332101,12332101,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Receber,account_group_123321
account_group_123321011,123321011,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Receber,account_group_12332101
