id,code,name,note,account_type,reconcile
account_template_avus_4_1_1_02_0009,4.1.1.02.0009,INSS sobre Férias,,expense,
account_template_avus_4_1_1_03_0001,4.1.1.03.0001,Mão de Obra Terceirizada,,expense,
account_template_avus_4_1_1_04_0001,4.1.1.04.0001,Seguro Saúde,,expense,
account_template_avus_4_1_1_04_0002,4.1.1.04.0002,Vale Refeição,,expense,
account_template_avus_4_1_1_04_0003,4.1.1.04.0003,Seguro de Vida,,expense,
account_template_avus_4_1_1_04_0004,4.1.1.04.0004,Seguro Odontológico,,expense,
account_template_avus_4_1_1_04_0005,4.1.1.04.0005,Vale Transporte,,expense,
account_template_avus_4_1_1_04_0006,4.1.1.04.0006,Previdência Privada,,expense,
account_template_avus_4_1_1_05_0001,4.1.1.05.0001,Cursos e Treinamentos,,expense,
account_template_avus_4_1_1_05_0002,4.1.1.05.0002,Formação ,,expense,
account_template_avus_4_1_1_05_0003,4.1.1.05.0003,Integração de Novos Colaboradores,,expense,
account_template_avus_4_1_1_09_0001,4.1.1.09.0001,Medicina Ocupacional,,expense,
account_template_avus_4_1_1_09_0002,4.1.1.09.0002,Uniformes,,expense,
account_template_avus_4_1_1_09_0003,4.1.1.09.0003,Recrutamento e Seleção,,expense,
account_template_avus_4_1_1_09_0009,4.1.1.09.0009,Outras Despesas com Pessoal,,expense,
account_template_avus_4_1_2_01_0001,4.1.2.01.0001,Honorários Advocatícios,,expense,
account_template_avus_4_1_2_01_0002,4.1.2.01.0002,Honorários Contábeis,,expense,
account_template_avus_4_1_2_01_0003,4.1.2.01.0003,Auditoria Externa,,expense,
account_template_avus_4_1_2_01_0004,4.1.2.01.0004,Auditoria Interna,,expense,
account_template_avus_4_1_2_01_0005,4.1.2.01.0005,Serviços Profissionais,,expense,
account_template_avus_4_1_2_01_0009,4.1.2.01.0009,Outros Serviços,,expense,
account_template_avus_4_1_2_02_0001,4.1.2.02.0001,Licenças de Sistemas e Aplicativos,,expense,
account_template_avus_4_1_2_02_0002,4.1.2.02.0002,Manutenção de Sistemas,,expense,
account_template_avus_4_1_2_02_0003,4.1.2.02.0003,Telefonia e Comunicação de Dados,,expense,
account_template_avus_4_1_2_02_0004,4.1.2.02.0004,Manutenção de Equipamentos,,expense,
account_template_avus_4_1_2_02_0005,4.1.2.02.0005,Despesas com Periféricos,,expense,
account_template_avus_4_1_2_02_0006,4.1.2.02.0006,Locação de Equipamentos,,expense,
account_template_avus_4_1_2_02_0009,4.1.2.02.0009,Outras Despesas com Tecnologia,,expense,
account_template_avus_4_1_3_01_0001,4.1.3.01.0001,Aluguéis e Condomínios,,expense,
account_template_avus_4_1_3_01_0002,4.1.3.01.0002,Seguros,,expense,
account_template_avus_4_1_3_01_0003,4.1.3.01.0003,IPTU e Taxas de Funcionamento,,expense,
account_template_avus_4_1_3_01_0004,4.1.3.01.0004,Energia Elétrica,,expense,
account_template_avus_4_1_3_01_0005,4.1.3.01.0005,Higiene e Limpeza,,expense,
account_template_avus_4_1_3_01_0006,4.1.3.01.0006,Manutenção e Reparos,,expense,
account_template_avus_4_1_3_01_0007,4.1.3.01.0007,Manutenção Ar Condicionado,,expense,
account_template_avus_4_1_3_01_0008,4.1.3.01.0008,Material de Escritório / Insumos,,expense,
account_template_avus_4_1_3_01_0009,4.1.3.01.0009,Bens de Pequeno Valor,,expense,
account_template_avus_4_1_3_01_0010,4.1.3.01.0010,Estacionamento,,expense,
account_template_avus_4_1_3_01_0011,4.1.3.01.0011,Obras e Reformas,,expense,
account_template_avus_4_1_3_01_0012,4.1.3.01.0012,Água e Esgoto,,expense,
account_template_avus_4_1_3_02_0003,4.1.3.02.0003,Viagem e Hospedagens,,expense,
account_template_avus_4_1_3_02_0004,4.1.3.02.0004,Despesas com Locomoção,,expense,
account_template_avus_4_1_3_04_0001,4.1.3.04.0001,Depreciação,,expense,
account_template_avus_4_1_3_04_0002,4.1.3.04.0002,Amortização,,expense,
account_template_avus_4_1_3_04_0003,4.1.3.04.0003,Amortização Arrendamento (Leasing),,expense,
account_template_avus_4_1_4_01_0001,4.1.4.01.0001,Comunicação e Marketing,,expense,
account_template_avus_4_1_4_01_0002,4.1.4.01.0002,Marca,,expense,
account_template_avus_4_1_4_01_0003,4.1.4.01.0003,Midias Sociais,,expense,
account_template_avus_4_1_4_01_0004,4.1.4.01.0004,Eventos Institucionais,,expense,
account_template_avus_4_1_4_01_0005,4.1.4.01.0005,Impressos Gráficos,,expense,
account_template_avus_4_1_4_01_0006,4.1.4.01.0006,Brindes,,expense,
account_template_avus_4_1_4_01_0009,4.1.4.01.0009,Outras Despesas de Marketing,,expense,
account_template_avus_4_1_5_01_0001,4.1.5.01.0001,Seguro D&O,,expense,
